MCC,MCC Title,Description,Included in this MCC,Similar Merchants,Page
0742,Veterinary Services,"Merchants classified with this MCC are licensed Animal Doctors, 5995 – Pet Shops, Pet Foods and practitioners of veterinary medicine, dentistry, or Pet Hospitals Supplies Store surgery. This MCC includes medical practitioners of Pet Clinics pets (e.g., dogs, cats), livestock (e.g., cattle, horses, sheep, hogs, goats, poultry), and large or exotic Services – Veterinary animals. Agricultural Co-operatives 0763 Merchants classified with this MCC provide farm Farm Management 0780 – Landscaping and Horticultural management services or engage in farming Services Services operations. Also included in this MCC are Orchards 4225 – Public Warehousing and associations and cooperatives that provide assistance Vineyards Storage – Farm Products, Refrigerated and services to farmers in farm management. These Goods, Household Goods, and Storage services include, but are not limited to financial assistance, management or complete maintenance of crops, soil preparation, planting and cultivating, aerial dusting and spraying, disease and insect control, weed control, and harvesting crops.",,,28
0780,Landscaping and Horticultural Services,"Merchants classified with this MCC provide landscape Gardening Services 5193 – Florist Supplies, Nursery planning and design services. This MCC also Horticulture Services Stock and Flowers includes Merchants that offer a variety of lawn and Landscaping Services 5261 – Nurseries and Lawn and garden services (e.g., planting, fertilizing, mowing, Garden Supply Stores mulching, seeding, spraying, sod laying).",,,28
1520,General Contractors – Residential and Commercial,"Merchants classified with this MCC are general Building Contractors – 1711 – Heating, Plumbing, and Air contractors primarily engaged in construction of Residential, Commercial Conditioning Contractors residential and/or commercial buildings. This MCC Construction Companies 1731 – Electrical Contractors includes contractors that perform new construction as General Contractors 1740 – Masonry, Stonework, Tile well as remodeling, repair, additions, or alterations. Setting, Plastering and Insulation Contractors",,,28
1750,– Carpentry Contractors,,,,28
1761,"– Roofing, Siding, and Sheet",Metal Work Contractors,,,28
1771,–Concrete Work Contractors,,,,28
1799,– Special Trade Contractors,(Not Elsewhere Classified),,,28
1711,"Heating, Plumbing, and Air Conditioning Contractors","Merchants classified with this MCC are contractors Air Conditioning 1520 – General Contractors – that provide heating, plumbing and air conditioning Contractors Residential and Commercial services. This MCC includes contractors that perform Heating Contractors 5074 – Plumbing and Heating air system balancing and testing, drainage system Plumbing Contractors Equipment and Supplies installation, furnace repair, irrigation system",,,28
1799,– Special Trade Contractors,"installation, refrigeration and freezer work, sewer (Not Elsewhere Classified) hookups and connections, solar heating, sprinkler system installation and water pump installation and April 2025 VISA PUBLIC 24",,,28
1731,Electrical Contractors,"Merchants classified with this MCC are contractors Contractors – Electrical 1520 – General Contractors – that provide electrical work such as fire alarm Residential and Commercial installation, sound equipment installation,",,,29
1799,– Special Trade Contractors,"telecommunications equipment installation, (Not Elsewhere Classified) cable/internet installation, and telephone and telephone equipment installation. Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors 1740 Merchants classified with this MCC are contractors Insulation Contractors 1520 – General Contractors – that perform masonry work, stone setting and other Masonry Contractors Residential and Commercial stone work, tile setting, plain and ornamental Plastering Contractors 1799 – Special Trade Contractors plastering, and insulation. This MCC also includes (Not Elsewhere Classified) contractors that perform bricklaying, ceramic and Stonework Contractors marble work, mosaic work, acoustical improvements, Tile Setting Contractors and drywall construction.",,,29
1750,Carpentry Contractors,Merchants classified with this MCC are contractors Contractors – Carpentry 1520 – General Contractors – that perform carpentry work. This MCC includes Residential and Commercial contractors that do cabinet work at the construction,,,29
1799,– Special Trade Contractors,"site, framing, trim and finish work and window and (Not Elsewhere Classified) door installation.",,,29
1761,"Roofing, Siding, and Sheet Metal Work Contractors","Merchants classified with this MCC are contractors Contractors – Roofing 1520 – General Contractors – that install roofing and/or siding and do sheet metal Contractors – Sheet Metal Residential and Commercial work. This MCC includes contractors that perform Work 1799 – Special Trade Contractors architectural sheet metal work, ceilings and skylight Contractors – Siding (Not Elsewhere Classified) installation, duct and gutter installation, and roof spraying, painting or coating.",,,29
1771,Concrete Work Contractors,"Merchants classified with this MCC are contractors Asphalt Contractors 1520 – General Contractors – that perform concrete, cement or asphalt work. This Cement Contractors Residential and Commercial MCC includes contractors that construct private Contractors – Concrete 1799 – Special Trade Contractors driveways and walks of all materials. Also included in Work (Not Elsewhere Classified) this category are contractors that pour concrete for foundations and perform grouting work and concrete patio and sidewalk construction.",,,29
1799,Special Trade Contractors (Not Elsewhere Classified),"Merchants classified with this MCC are special trade Special Trade Contractors 1520 – General Contractors – contractors that perform construction work not Decorating Contractors Residential and Commercial covered with a more specific MCC. This MCC Demolition Services includes contractors that perform jobs such as awning Contractors installation, bathtub refinishing, fence construction, Garage Door Installation fire escape installation, house moving, home window replacement, garage door installation, ornamental Glasswork Contractors April 2025 VISA PUBLIC 25",,,29
2741,Miscellaneous Publishing and Printing,"Merchants classified with this MCC engage in Bookbinding Services 5192 – Books, Periodicals and business-to-business or wholesale printing, publishing Printing Services Newspapers and/or bookbinding activity. This includes Merchants Publishing Services 5942 – Book Stores that print or publish maps and atlases, business",,,30
7338,"– Quick Copy, Reproduction,","newsletters, directories, sheet music, paper patterns, and Blueprinting Services technical manuals and papers, telephone directories and yearbooks.",,,30
2791,"Typesetting, Plate Making and Related Services","Merchants classified with this MCC perform business- Plate Making Services 2741 – Miscellaneous Publishing to-business or wholesale typesetting for the printing Typesetting Services and Printing trade and those that make plates for printing 7338 – Quick Copy, Reproduction, purposes. These Merchants are involved in and Blueprinting Services advertisement typesetting, phototypesetting, computer-controlled typesetting, and color separations. This MCC also includes Merchants that make positives and negatives from which offset lithographic plates are made. These establishments do not print from the plates they make but prepare them only for use by other Merchants. This MCC also includes Merchants that provide engraving or embossing services for printing purposes, such as engraving on wood, rubber, copper, or steel, or photoengraving.",,,30
2842,"Specialty Cleaning, Polishing and Sanitation Preparations","Merchants classified with this MCC engage in the Cleaning Preparations 5085 – Industrial Supplies business-to-business or wholesale manufacture of Materials – Cleaning, (Not Elsewhere Classified) polishes for wood, metal, and other materials as well Polishing, Sanitation 5169 – Chemicals and Allied Products as cleaning solutions, industrial and household Polishing Preparations (Not Elsewhere Classified) disinfectants, and other sanitation preparations. Also included in this MCC are Merchants that sell non- Sanitation Preparations personal deodorants, waxes and dressings for fabricated leather and other materials, wax removers, dry cleaning fluid and chemicals, rust and stain removers, wallpaper cleaners, and window cleaning solutions. Airlines and Air Carriers April 2025 VISA PUBLIC 26",,,30
3000,UNITED AIRLINES UNITED AIR,,,,31
3001,AMERICAN AIRLINES AMERICAN AIR,,,,31
3002,PAN AMERICAN PAN AM AIR,,,,31
3003,EUROFLY AIRLINES EUROFLY AIR,,,,31
3004,DRAGON AIRLINES DRAGONAIR,,,,31
3005,BRITISH AIRWAYS BRITISH AWYS,,,,31
3006,JAPAN AIRLINES JAL AIRLINE,,,,31
3007,AIR FRANCE AIR FRANCE,,,,31
3008,LUFTHANSA LUFTHANSA,,,,31
3009,AIR CANADA AIR CANADA,,,,31
3010,KLM (ROYAL DUTCH AIRLINES) KLM AIRLINE,,,,31
3011,AEROFLOT AEROFLOT,,,,31
3012,QANTAS QANTAS AIR,,,,31
3013,ITA AIRWAYS (FORMERLY ALITALIA) ITA AIRWAYS (FORMERLY ALITALIA),,,,31
3014,SAUDI ARABIAN AIRLINES SAUDIA AIR,,,,31
3015,SWISS INTERNATIONAL AIRLINES SWISSINTAIR,,,,31
3016,SAS SAS,,,,31
3017,SOUTH AFRICAN AIRWAYS SAA AIRWAYS,,,,31
3018,VARIG (BRAZIL) VARIG,,,,31
3019,EASTERN AIRLINES EASTERN AIR,,,,31
3020,AIR-INDIA AIR-INDIA,,,,31
3021,AIR ALGERIE AIR ALGERIE,,,,31
3022,PHILIPPINE AIRLINES PAL AIR,,,,31
3023,MEXICANA MEXICANA,,,,31
3024,PAKISTAN INTERNATIONAL PAKISTAN AIR,,,,31
3025,AIR NEW ZEALAND AIR NZ,,,,31
3026,EMIRATES AIRLINES EMIRATES,,,,31
3027,UTA/INTERAIR UTA AIRLINE,,,,31
3028,KM MALTA AIRLINES (FORMERLY AIR MALTA) KMMA (FORMERLY AIR MALTA),,,,31
3029,SN BRUSSELS AIRLINES SNBRSSLSAIR,,,,31
3030,AEROLINEAS ARGENTINAS AERO ARGENT,,,,31
3031,OLYMPIC AIRWAYS OLYMPIC AIR,,,,31
3032,EL AL EL AL,,,,31
3033,ANSETT AIRLINES ANSETT AIR,,,,31
3034,ETIHAD AIRWAYS ETIHADAIR,,,,31
3035,TAP (PORTUGAL) TAP AIR,,,,31
3036,VASP (BRAZIL) VASP AIR,,,,31
3037,EGYPTAIR EGYPTAIR,April 2025 VISA PUBLIC 27,,,31
3038,KUWAIT AIRWAYS KUWAIT AIR,,,,32
3039,AVIANCA AVIANCA,,,,32
3040,GULF AIR (BAHRAIN) GULF AIR,,,,32
3041,BALKAN-BULGARIAN AIRLINES BALKAN AIR,,,,32
3042,FINNAIR FINNAIR,,,,32
3043,AER LINGUS AER LINGUS,,,,32
3044,AIR LANKA AIR LANKA,,,,32
3045,NIGERIA AIRWAYS NIGERIA AIR,,,,32
3046,CRUZEIRO DO SUL (BRAZIL) CRUZEIRO AIR,,,,32
3047,TURKISH AIRLINES TURKISH AIRLINES,,,,32
3048,ROYAL AIR MAROC AIR MAROC,,,,32
3049,TUNIS AIR TUNIS AIR,,,,32
3050,ICELANDAIR ICELANDAIR,,,,32
3051,AUSTRIAN AIRLINES AUSTRIAN AIR,,,,32
3052,LAN AIRLINES LAN AIR,,,,32
3053,AVIACO (SPAIN) AVIACO AIR,,,,32
3054,LADECO (CHILE) LADECO AIR,,,,32
3055,LAB (BOLIVIA) LAB AIR,,,,32
3056,JET AIRWAYS JET AIR,,,,32
3057,VIRGIN AMERICA VIR AMER,,,,32
3058,DELTA DELTA AIR,,,,32
3059,DBA AIRLINES DBA AIR,,,,32
3060,NORTHWEST NWA AIR,,,,32
3061,CONTINENTAL CONTINENTAL,,,,32
3062,HAPAG-LLOYD EXPRESS AIRLINES HLX AIR,,,,32
3063,US AIRWAYS USAIRWAYS,,,,32
3064,ADRIA AIRWAYS ADRIA AIR,,,,32
3065,AIRINTER AIRINTER,,,,32
3066,SOUTHWEST SOUTHWESTAIR,,,,32
3067,VANGUARD AIRLINES VANGUARD AIR,,,,32
3068,AIR ASTANA AIR ASTANA,,,,32
3069,SUN COUNTRY AIRLINES SUNCNTRYAIR,,,,32
3070,FLYDUBAI FLYDUBAI,,,,32
3071,AIR BRITISH COLUMBIA AIR BC,,,,32
3072,CEBU PACIFIC AIRLINES CEBU PAC,,,,32
3075,SINGAPORE AIRLINES SINGAPOREAIR,,,,32
3076,AEROMEXICO AEROMEXICO,,,,32
3077,THAI AIRWAYS THAI AIRWAYS,,,,32
3078,CHINA AIRLINES CHINA AIR,,,,32
3079,JETSTAR AIRWAYS JETSTAR AIR,April 2025 VISA PUBLIC 28,,,32
3080,SWOOP INC FLYSWOOP,,,,33
3081,XIAMEN AIRLINES XIAMEN AIR,,,,33
3082,KOREAN AIRLINES KOREAN AIR,,,,33
3083,AIR AFRIQUE AIR AFRIQUE,,,,33
3084,EVA AIRWAYS EVA AIR,,,,33
3085,MIDWEST EXPRESS AIRLINES MIDWEST EXP,,,,33
3086,CARNIVAL AIRLINES CARNIVAL AIR,,,,33
3087,METRO AIRLINES METRO AIR,,,,33
3088,CROATIA AIRLINES CROATIA AIR,,,,33
3089,TRANSAERO TRANSAERO,,,,33
3090,UNI AIRWAYS CORPORATION UNIAIR,,,,33
3094,ZAMBIA AIRWAYS ZAMBIA AIR,,,,33
3096,AIR ZIMBABWE AIR ZIMBABWE,,,,33
3097,SPANAIR SPANAIR,,,,33
3098,ASIANA AIRLINES ASIANA AIR,,,,33
3099,CATHAY PACIFIC CATHAYPACAIR,,,,33
3100,MALAYSIAN AIRLINE SYSTEM MALAY AIR,,,,33
3102,IBERIA IBERIA AIR,,,,33
3103,GARUDA (INDONESIA) GARUDA AIR,,,,33
3106,BRAATHENS S.A.F.E. (NORWAY) BRAATHENS,,,,33
3110,WINGS AIRWAYS WINGS AIR,,,,33
3111,BRITISH MIDLAND BRMIDLANDAIR,,,,33
3112,WINDWARD ISLAND WINDWRDISAIR,,,,33
3115,TOWER AIR TOWERAIR,,,,33
